,DT,SALE_SUM_AMT
39,2017-09-24 00:00:00,16322499388.0
152,2017-10-01 00:00:00,960754181.0
251,2017-10-08 00:00:00,9892340790.0
63,2017-10-15 00:00:00,10152413829.0
100,2017-10-22 00:00:00,12727997067.0
288,2017-10-29 00:00:00,13560871801.0
34,2017-11-05 00:00:00,8645908219.0
224,2017-11-12 00:00:00,9762129119.0
259,2017-11-19 00:00:00,9702663875.0
70,2017-11-26 00:00:00,18107103794.0
162,2017-12-03 00:00:00,9347168547.0
274,2017-12-10 00:00:00,10787443414.0
86,2017-12-17 00:00:00,13974552213.0
202,2017-12-24 00:00:00,17460015064.0
112,2018-01-01 00:00:00,11665084743.0
111,2018-01-01 00:00:00,11665084743.0
226,2018-01-08 00:00:00,11197442440.0
38,2018-01-15 00:00:00,11892763336.0
153,2018-01-22 00:00:00,12088454841.0
257,2018-01-29 00:00:00,14175420794.0
76,2018-02-05 00:00:00,11660996946.0
113,2018-02-12 00:00:00,4827832871.0
300,2018-02-19 00:00:00,14794126462.0
25,2018-02-26 00:00:00,15647639393.0
217,2018-03-05 00:00:00,11684825297.0
249,2018-03-12 00:00:00,10413107230.0
64,2018-03-19 00:00:00,10437747306.0
181,2018-03-26 00:00:00,17552771230.0
289,2018-04-02 00:00:00,9935674392.0
103,2018-04-09 00:00:00,8742361739.0
220,2018-04-16 00:00:00,9975021369.0
241,2018-04-23 00:00:00,14777222584.0
124,2018-04-30 00:00:00,10992933554.0
161,2018-05-07 00:00:00,8860328229.0
46,2018-05-14 00:00:00,10465266768.0
79,2018-05-21 00:00:00,6423125427.0
197,2018-05-28 00:00:00,17287392221.0
4,2018-06-04 00:00:00,8484336099.0
121,2018-06-11 00:00:00,8838538802.0
245,2018-06-18 00:00:00,10680457870.0
54,2018-06-25 00:00:00,14372147624.0
95,2018-07-02 00:00:00,9261605210.0
283,2018-07-09 00:00:00,8660291304.0
21,2018-07-16 00:00:00,9733437491.0
211,2018-07-23 00:00:00,13054188393.0
246,2018-07-30 00:00:00,10412404214.0
55,2018-08-06 00:00:00,9384902664.0
216,2018-08-13 00:00:00,7399784573.0
252,2018-08-20 00:00:00,10605686686.0
139,2018-08-27 00:00:00,16710178619.0
178,2018-09-03 00:00:00,15637350374.0
292,2018-09-10 00:00:00,13309487033.0
102,2018-09-17 00:00:00,13182584798.0
219,2018-09-24 00:00:00,10762110345.0
10,2018-10-01 00:00:00,13615353453.0
126,2018-10-08 00:00:00,11276165456.0
163,2018-10-15 00:00:00,10373016264.0
42,2018-10-22 00:00:00,12142155977.0
84,2018-10-29 00:00:00,15502243188.0
267,2018-11-05 00:00:00,11048825990.0
0,2018-11-12 00:00:00,12301030361.0
123,2018-11-19 00:00:00,10683742304.0
233,2018-11-26 00:00:00,21846199166.0
74,2018-12-03 00:00:00,10582265366.0
190,2018-12-10 00:00:00,13386223305.0
303,2018-12-17 00:00:00,11220125726.0
29,2018-12-24 00:00:00,14850559629.0
291,2019-01-01 00:00:00,12966075757.0
290,2019-01-01 00:00:00,12966075757.0
101,2019-01-08 00:00:00,11620132014.0
215,2019-01-15 00:00:00,13646479623.0
23,2019-01-22 00:00:00,15102145138.0
142,2019-01-29 00:00:00,17174710874.0
182,2019-02-05 00:00:00,5068212115.0
66,2019-02-12 00:00:00,16820423887.0
104,2019-02-19 00:00:00,12991934895.0
295,2019-02-26 00:00:00,18437007173.0
30,2019-03-05 00:00:00,13774174999.0
148,2019-03-12 00:00:00,12462136698.0
262,2019-03-19 00:00:00,11229725913.0
41,2019-03-26 00:00:00,17796386602.0
156,2019-04-02 00:00:00,12388108757.0
266,2019-04-09 00:00:00,9064310285.0
3,2019-04-16 00:00:00,11941500270.0
228,2019-04-23 00:00:00,13983261319.0
265,2019-04-30 00:00:00,17960158005.0
154,2019-05-07 00:00:00,7586383748.0
192,2019-05-14 00:00:00,9577339676.0
296,2019-05-21 00:00:00,12987165195.0
105,2019-05-28 00:00:00,18133361074.0
225,2019-06-04 00:00:00,6112780347.0
37,2019-06-11 00:00:00,11826540646.0
140,2019-06-18 00:00:00,8558605761.0
179,2019-06-25 00:00:00,21190388049.0
61,2019-07-02 00:00:00,11383817092.0
99,2019-07-09 00:00:00,13098224368.0
293,2019-07-16 00:00:00,11211419791.0
26,2019-07-23 00:00:00,10652502164.0
143,2019-07-30 00:00:00,16300854747.0
254,2019-08-06 00:00:00,12537093854.0
11,2019-08-13 00:00:00,7125598853.0
130,2019-08-20 00:00:00,13408640668.0
243,2019-08-27 00:00:00,17945028219.0
43,2019-09-03 00:00:00,11977499228.0
158,2019-09-10 00:00:00,5845088382.0
268,2019-09-17 00:00:00,12186908663.0
1,2019-09-24 00:00:00,17953854448.0
196,2019-10-01 00:00:00,17254176959.0
248,2019-10-08 00:00:00,10378604362.0
132,2019-10-15 00:00:00,10871023666.0
176,2019-10-22 00:00:00,11546153155.0
281,2019-10-29 00:00:00,23662156627.0
87,2019-11-05 00:00:00,14252174344.0
205,2019-11-12 00:00:00,13356031806.0
18,2019-11-19 00:00:00,17065640130.0
133,2019-11-26 00:00:00,18800925026.0
180,2019-12-03 00:00:00,13680190709.0
65,2019-12-10 00:00:00,15020122548.0
97,2019-12-17 00:00:00,14974456685.0
286,2019-12-24 00:00:00,21204099134.0

