,ds,yhat,yhat_lower,yhat_upper
0,2015-01-01,22.609287242662152,22.082996472631397,23.11491396796161
1,2015-01-08,22.639670614178296,22.06779271329765,23.155973769075807
2,2015-01-15,22.714633949180453,22.160026787461142,23.217127497401012
3,2015-01-22,22.764921239970864,22.216580118270294,23.30726721253508
4,2015-01-29,22.718922855549224,22.178291367597872,23.238626480785637
5,2015-02-05,22.58898526397189,22.023295436949695,23.112441455589593
6,2015-02-12,22.482124900294448,21.930257028936087,23.015611942308187
7,2015-02-19,22.504297984195873,21.97232522501977,23.02655161360822
8,2015-02-26,22.651290063541822,22.10906511408878,23.232156394912238
9,2015-03-05,22.80729036303033,22.284023052053556,23.362764447644512
10,2015-03-12,22.858802678940936,22.33875480151239,23.40334120135611
11,2015-03-19,22.80206508160218,22.298076935185886,23.329206399314412
12,2015-03-26,22.729232418774735,22.14792407746199,23.253820954629003
13,2015-04-02,22.716567001319447,22.20007456036683,23.225899029396732
14,2015-04-09,22.74401693101696,22.225852753373122,23.288299909529744
15,2015-04-16,22.737490353417076,22.196839926702598,23.2677627388055
16,2015-04-23,22.663032636382535,22.13430325751637,23.175327095900244
17,2015-04-30,22.56734754775122,22.047446316605168,23.10986270618239
18,2015-05-07,22.518821342877093,21.907679853544664,23.0471064503672
19,2015-05-14,22.531373142162913,21.97870356962421,23.085360561559582
20,2015-05-21,22.56272279804866,22.041509552200107,23.076163958725672
21,2015-05-28,22.575937784737423,22.022937680474612,23.105455840897736
22,2015-06-04,22.583859125116255,22.05437831995759,23.13055100373607
23,2015-06-11,22.61373817888724,22.06403464430998,23.18220783063959
24,2015-06-18,22.658274196851337,22.08810073138668,23.20828847930685
25,2015-06-25,22.67973520980677,22.14362536150497,23.208036152300163
26,2015-07-02,22.66331901500788,22.091239353587966,23.244448335484748
27,2015-07-09,22.642233540091276,22.10125006768761,23.20814575531382
28,2015-07-16,22.652392665383157,22.127959116419824,23.203357150364212
29,2015-07-23,22.67686590620129,22.17194039397517,23.23907602483354
30,2015-07-30,22.65813217999408,22.083068952044563,23.21985562886017
31,2015-08-06,22.578430534626527,22.015161315094755,23.118083980794427
32,2015-08-13,22.504702705907192,21.986236377401,23.054792602907945
33,2015-08-20,22.527312161695455,22.002349548448095,23.067515296810328
34,2015-08-27,22.650496291193566,22.08108615693851,23.157664358409296
35,2015-09-03,22.76464786943923,22.22711683323778,23.309675647715533
36,2015-09-10,22.74747590230474,22.18789577696802,23.277852828648523
37,2015-09-17,22.592476683376795,22.009516464885543,23.124853812419758
38,2015-09-24,22.424331132441875,21.90520755314767,22.95632589580309
39,2015-10-01,22.381717234389694,21.822105037490623,22.951628595994226
40,2015-10-08,22.490977879183266,21.954131502657344,23.029008392886492
41,2015-10-15,22.65749060907154,22.087989925045235,23.242042528687026
42,2015-10-22,22.768958704087495,22.20585488181345,23.33585376746759
