,Unnamed: 0,ds,y
0,185,2015-01-01,21.23998422044947
1,67,2015-01-08,22.658088012276803
2,106,2015-01-15,22.488161706805084
3,223,2015-01-22,22.808512973624353
4,35,2015-01-29,23.644626387806024
5,149,2015-02-05,22.434270471595966
6,191,2015-02-12,22.600405026931206
7,58,2015-02-19,20.955378770814555
8,115,2015-02-26,23.738684027407757
9,302,2015-03-05,22.563287976163938
10,36,2015-03-12,22.63501845048123
11,150,2015-03-19,22.617355609121578
12,260,2015-03-26,23.251507035664577
13,68,2015-04-02,23.592379843463338
14,186,2015-04-09,22.42330505929307
15,297,2015-04-16,22.564818570562675
16,5,2015-04-23,22.796387387865728
17,200,2015-04-30,23.71534356633126
18,236,2015-05-07,22.292998279855844
19,117,2015-05-14,22.50501966814355
20,164,2015-05-21,22.401623097791376
21,273,2015-05-28,23.158521068379546
22,80,2015-06-04,22.665245101617575
23,201,2015-06-11,22.44481372378955
24,12,2015-06-18,22.44650624795599
25,127,2015-06-25,22.798368736942294
26,171,2015-07-02,23.053683256563787
27,53,2015-07-09,22.192732589550907
28,91,2015-07-16,22.386530755338242
29,279,2015-07-23,22.629824249556695
30,22,2015-07-30,23.559871880284337
31,137,2015-08-06,22.132868029606897
32,282,2015-08-13,22.398896416538896
33,20,2015-08-20,22.523651296614478
34,209,2015-08-27,22.7468797220389
35,244,2015-09-03,22.81155220791986
36,52,2015-09-10,22.67196045676238
37,166,2015-09-17,22.329241181003653
38,276,2015-09-24,23.09348953783963
39,89,2015-10-01,22.669829388345054
40,198,2015-10-08,22.20976942981529
41,235,2015-10-15,22.488311380823845
42,119,2015-10-22,22.566450395876632
43,155,2015-10-29,23.47714652472214
44,47,2015-11-05,22.317000675552155
45,85,2015-11-12,22.450417606999704
46,199,2015-11-19,22.833669197029675
47,6,2015-11-26,23.092529069180575
48,146,2015-12-03,23.199280589227993
49,256,2015-12-10,22.65523849643213
50,71,2015-12-17,22.984184769107895
51,107,2015-12-24,22.76872132898416
52,59,2016-01-01,23.284828596584337
53,60,2016-01-01,23.284828596584337
54,177,2016-01-08,22.595139536213296
55,287,2016-01-15,22.681912654745634
56,92,2016-01-22,22.997834757360707
57,207,2016-01-29,23.20454780776543
58,242,2016-02-05,23.01778975681459
59,128,2016-02-12,22.0128518227921
60,167,2016-02-19,22.907416543463675
61,44,2016-02-26,23.172213344843513
62,81,2016-03-04,23.410393877292655
63,203,2016-03-11,22.90064973439579
64,9,2016-03-18,22.678113426119285
65,118,2016-03-25,22.805863513289296
66,232,2016-04-01,23.63240052683196
67,45,2016-04-08,22.46647760778283
68,82,2016-04-15,22.326902783063197
69,299,2016-04-22,22.81305087116638
70,33,2016-04-29,23.71464526319138
71,221,2016-05-06,21.901970888342973
72,258,2016-05-13,22.39860600545874
73,75,2016-05-20,22.449465121449673
74,188,2016-05-27,22.801600504391917
75,304,2016-06-03,23.307537761546477
76,116,2016-06-10,22.19941437958039
77,214,2016-06-17,22.535805210028677
78,250,2016-06-24,22.964427009501218
79,151,2016-07-01,23.617546822124805
80,189,2016-07-08,22.389034684243033
81,72,2016-07-15,22.421701067117088
82,108,2016-07-22,22.68079935530056
83,222,2016-07-29,23.41128689798036
84,32,2016-08-05,22.467541972030585
85,83,2016-08-12,22.51657677851859
86,269,2016-08-19,22.303826385790902
87,7,2016-08-26,22.734145946288184
88,125,2016-09-02,23.371402234028846
89,230,2016-09-09,22.423416965318417
90,48,2016-09-16,21.024539277878986
91,160,2016-09-23,22.941770235176104
92,270,2016-09-30,23.55130729736868
93,13,2016-10-07,22.305535992526277
94,208,2016-10-14,22.615715462462678
95,239,2016-10-21,22.647740598546417
96,131,2016-10-28,23.106161531511834
97,174,2016-11-04,23.514853443898705
98,278,2016-11-11,22.715135286920045
99,93,2016-11-18,22.73852179493226
100,213,2016-11-25,23.039447148440928
101,57,2016-12-02,23.446778194146447
102,94,2016-12-09,22.717873180407427
103,210,2016-12-16,22.810003223481427
104,17,2016-12-23,23.012291009156797
105,238,2017-01-01,23.998973034160098
106,50,2017-01-08,23.01494940222896
107,159,2017-01-15,22.861585198142084
108,272,2017-01-22,22.868826793203958
109,2,2017-01-29,23.19691520977329
110,194,2017-02-05,22.806119424222484
111,234,2017-02-12,22.8762043214878
112,122,2017-02-19,23.122636317181936
113,172,2017-02-26,23.371349913970786
114,280,2017-03-05,22.905514220495416
115,88,2017-03-12,22.877390326994103
116,204,2017-03-19,23.08077319448334
117,19,2017-03-26,23.457570584136747
118,136,2017-04-02,22.765733682917308
119,173,2017-04-09,22.84405005660734
120,56,2017-04-16,22.997551766951176
121,98,2017-04-23,23.50236648940774
122,285,2017-04-30,22.119331572066063
123,24,2017-05-07,22.646096229951564
124,138,2017-05-14,22.931461321090637
125,253,2017-05-21,23.111731177360838
126,14,2017-05-28,23.390984399325976
127,129,2017-06-04,22.491441027579995
128,240,2017-06-11,22.72817811689638
129,49,2017-06-18,22.997288889530743
130,165,2017-06-25,23.532093936899134
131,271,2017-07-02,22.850696670635546
132,8,2017-07-09,23.052929006851954
133,195,2017-07-16,23.056662337053595
134,231,2017-07-23,23.27266833141448
135,120,2017-07-30,22.985451663349824
136,157,2017-08-06,23.00228765601455
137,264,2017-08-13,22.66058769872735
138,147,2017-08-20,22.962484222654112
139,184,2017-08-27,23.319583979672878
140,69,2017-09-03,22.987778303275594
141,114,2017-09-10,22.940801998421744
142,229,2017-09-17,23.012448136836177
143,39,2017-09-24,23.515810323530804
144,152,2017-10-01,20.68322913920824
145,251,2017-10-08,23.01502663708373
