,Unnamed: 0,ds,y
146,63,2017-10-15,23.04097732982557
147,100,2017-10-22,23.26706989754504
148,288,2017-10-29,23.330454409501158
149,34,2017-11-05,22.880352007706406
150,224,2017-11-12,23.001776361019243
151,259,2017-11-19,22.99566631104151
152,70,2017-11-26,23.61957017302673
153,162,2017-12-03,22.958339305187124
154,274,2017-12-10,23.101648647826558
155,86,2017-12-17,23.36050381347064
156,202,2017-12-24,23.583179250129547
157,112,2018-01-01,23.17986600711695
158,111,2018-01-01,23.17986600711695
159,226,2018-01-08,23.138951235599386
160,38,2018-01-15,23.19919592905688
161,153,2018-01-22,23.215516688690755
162,257,2018-01-29,23.374775371763356
163,76,2018-02-05,23.179515515585937
164,113,2018-02-12,22.297663522971096
165,300,2018-02-19,23.417496078270766
166,25,2018-02-26,23.473585905047464
167,217,2018-03-05,23.181556853777114
168,249,2018-03-12,23.066331160145943
169,64,2018-03-19,23.068694620830712
170,181,2018-03-26,23.588477679235933
171,289,2018-04-02,23.01939759106917
172,103,2018-04-09,22.891446211964052
173,220,2018-04-16,23.02334994197568
174,241,2018-04-23,23.416352817622435
175,124,2018-04-30,23.120518499132984
176,161,2018-05-07,22.904849647039736
177,46,2018-05-14,23.071327683967155
178,79,2018-05-21,22.583170662822155
179,197,2018-05-28,23.573243299413154
180,4,2018-06-04,22.861487488493587
181,121,2018-06-11,22.90238740604202
182,245,2018-06-18,23.09168154128234
183,54,2018-06-25,23.388557977784227
184,95,2018-07-02,22.949143219393424
185,283,2018-07-09,22.8820141968303
186,21,2018-07-16,22.998832958625417
187,211,2018-07-23,23.292374868876962
188,246,2018-07-30,23.066263645261404
189,55,2018-08-06,22.962368135487306
190,216,2018-08-13,22.724716724976023
191,252,2018-08-20,23.084656174021905
192,139,2018-08-27,23.53928386884428
193,178,2018-09-03,23.472928144284392
194,292,2018-09-10,23.3117429286408
195,102,2018-09-17,23.302162461967214
196,219,2018-09-24,23.0992975011668
197,10,2018-10-01,23.334463923293374
198,126,2018-10-08,23.145957083379027
199,163,2018-10-15,23.06247368131158
200,42,2018-10-22,23.21994919964363
201,84,2018-10-29,23.464250572206872
202,267,2018-11-05,23.12559001401688
203,0,2018-11-12,23.232948865003333
204,123,2018-11-19,23.091989012097923
205,233,2018-11-26,23.80729279214393
206,74,2018-12-03,23.082445358226003
207,190,2018-12-10,23.317491903466895
208,303,2018-12-17,23.140974942504027
209,29,2018-12-24,23.421303386939588
211,290,2019-01-01,23.285602226424704
212,101,2019-01-08,23.17600494923507
213,215,2019-01-15,23.33674742223774
214,23,2019-01-22,23.438102632796628
215,142,2019-01-29,23.56670384079377
216,182,2019-02-05,22.346253952317934
217,66,2019-02-12,23.545859692541082
218,104,2019-02-19,23.287594609192464
219,295,2019-02-26,23.637625741089206
220,30,2019-03-05,23.346061299012167
221,148,2019-03-12,23.245960820194608
222,262,2019-03-19,23.141830198720374
223,41,2019-03-26,23.602261273749544
224,156,2019-04-02,23.24000287824066
225,266,2019-04-09,22.92761059276492
226,3,2019-04-16,23.20328558777124
227,228,2019-04-23,23.361126831166338
228,265,2019-04-30,23.611421697387556
229,154,2019-05-07,22.749620865276935
230,192,2019-05-14,22.982665694748746
231,296,2019-05-21,23.287227414021185
232,105,2019-05-28,23.621019231955206
233,225,2019-06-04,22.533647555235532
234,37,2019-06-11,23.19361205002593
235,140,2019-06-18,22.870203135446086
236,179,2019-06-25,23.776813521895185
237,61,2019-07-02,23.15545863049315
238,99,2019-07-09,23.29574251353906
239,293,2019-07-16,23.140198719980212
240,26,2019-07-23,23.089060646483123
241,143,2019-07-30,23.514483381850535
242,254,2019-08-06,23.25195759521324
243,11,2019-08-13,22.68695960911302
244,130,2019-08-20,23.31916516206249
245,243,2019-08-27,23.610578934071913
246,43,2019-09-03,23.206295662267365
247,158,2019-09-10,22.488867552714208
248,268,2019-09-17,23.22362815213427
249,1,2019-09-24,23.611070661308087
250,196,2019-10-01,23.571320093662727
251,248,2019-10-08,23.063012251116394
252,132,2019-10-15,23.109366707150542
253,176,2019-10-22,23.169618158264196
254,281,2019-10-29,23.88714284210345
255,87,2019-11-05,23.38017531756494
256,205,2019-11-12,23.3152339404266
257,18,2019-11-19,23.560332929881948
258,133,2019-11-26,23.6571719090825
259,180,2019-12-03,23.33921468976002
260,65,2019-12-10,23.43265664223713
261,97,2019-12-17,23.429611698820622
262,286,2019-12-24,23.777460355310996
