,YY,WK,SALE_SUM_CNT,SALE_SUM_QTY,SALE_SUM_AMT,SALE_SUM_AVG,INCOME_CSI,CONSUME_CSI,P_CONSUME_CSI,CONSUME_INDEX,IT_EMP,FIN_EMP,HARDWARE_PRC,G_MOUSE,G_CPU,G_LABTOP,G_TABLET,N_MOUSE,N_CPU,N_LABTOP,N_TABLET,DT
5,2015,6,18392,94949,5534518855.00,58289.385406,101.178572,107.357142,93.642858,102.225,742.875,805.525,136.86200000000002,26.892857142857142,18.321428571428577,49.0,13.785714285714286,,,,,2015-02-05
6,2015,7,15852,86744,6534783322.00,75334.124804,101.428572,107.857142,93.142858,102.4,746.2,801.4999999999999,136.51799999999997,26.642857142857142,19.071428571428577,49.0,13.285714285714286,,,,,2015-02-12
7,2015,8,1767,9888,1261262160.00,127554.830097,101.678572,108.357142,92.642858,102.575,749.525,797.475,136.905,26.392857142857142,19.821428571428577,49.0,12.785714285714286,,,,,2015-02-19
8,2015,9,19269,267606,20397619247.00,76222.578144,101.928572,108.857142,92.142858,102.75,752.85,793.45,140.83,26.142857142857142,20.571428571428577,49.0,12.285714285714286,,,,,2015-02-26
9,2015,10,19157,112385,6296677663.00,56027.740917,101.53125,108.53125,92.0,102.50312799999999,755.3625,792.4406280000001,145.124,25.903225806451616,20.903225806451616,48.032258064516135,12.0,,,,,2015-03-05
10,2015,11,15594,90524,6764934731.00,74730.841887,100.875,107.875,92.0,102.087502,757.55,792.6375019999999,146.434,25.6774193548387,20.6774193548387,45.77419354838709,12.0,,,,,2015-03-12
11,2015,12,13961,82583,6646495825.00,80482.615368,100.21875,107.21875,92.0,101.671878,759.7375,792.8343779999999,149.124,25.451612903225815,20.451612903225815,43.51612903225807,12.0,,,,,2015-03-19
12,2015,13,13274,181347,12531446419.00,69102.033223,99.5625,106.5625,92.0,101.25625199999999,761.925,793.031252,151.038,25.2258064516129,20.2258064516129,41.25806451612901,12.0,,,,,2015-03-26
13,2015,14,10628,127243,5257073474.00,41315.227352,99.09875,106.01875,92.0,101.023876,764.1055,793.210376,149.092,25.056221198156685,19.94193548387097,39.16221198156683,11.942857142857141,,,,,2015-04-02
14,2015,14,6811,198365,12364325363.00,62331.184246,99.09875,106.01875,92.0,101.023876,764.1055,793.210376,149.092,25.056221198156685,19.94193548387097,39.16221198156683,11.942857142857141,,,,,2015-04-02
15,2015,15,12343,64875,5474162097.00,84380.147930,99.533334,106.0,92.0,101.646666,766.253334,793.3066660000001,149.788,25.23333333333333,19.3,38.06666666666667,11.53333333333333,,,,,2015-04-09
16,2015,16,12417,150970,6306322702.00,41772.025581,100.0,106.0,92.0,102.3,768.4,793.3999999999999,150.10399999999998,25.46666666666667,18.6,37.13333333333333,11.066666666666672,,,,,2015-04-16
17,2015,17,12267,169150,7949599507.00,46997.336724,100.466666,106.0,92.0,102.953334,770.546666,793.493334,145.686,25.700000000000006,17.9,36.199999999999996,10.6,,,,,2015-04-23
18,2015,18,12018,264145,19577077618.00,74114.889996,100.92,106.00689600000001,92.01379399999999,103.596966,772.63131,793.674344,141.465,25.92396313364056,17.218894009216587,35.29953917050692,10.147465437788014,,,,,2015-04-30
19,2015,18,2395,2934,349964893.00,119279.104635,100.92,106.00689600000001,92.01379399999999,103.596966,772.63131,793.674344,141.465,25.92396313364056,17.218894009216587,35.29953917050692,10.147465437788014,,,,,2015-04-30
20,2015,19,11701,79617,4805362313.00,60355.983181,101.0,106.206896,92.413792,103.968966,772.9793099999999,796.3103459999999,136.24,25.83870967741936,17.16129032258064,35.48387096774194,10.161290322580642,,,,,2015-05-07
21,2015,20,12681,119292,5940265511.00,49796.009045,101.0,106.44827599999999,92.896552,104.28275800000002,772.9551720000001,799.4724140000001,137.798,25.612903225806445,17.387096774193555,36.16129032258065,10.387096774193543,,,,,2015-05-14
22,2015,21,12826,67069,5356748998.00,79869.224201,101.0,106.68965599999999,93.37931200000001,104.596552,772.931034,802.634482,136.536,25.38709677419356,17.612903225806445,36.83870967741935,10.612903225806457,,,,,2015-05-21
23,2015,22,10366,149023,11418732761.00,76623.962482,101.0,106.931034,93.86206800000001,104.910346,772.906898,805.796552,133.53500000000003,25.161290322580644,17.838709677419356,37.51612903225806,10.838709677419358,,,,,2015-05-28
24,2015,23,14531,70074,4973375804.00,70973.196963,100.53125,106.6875,93.6875,103.85937800000002,774.36875,805.1375,133.366,25.218894009216587,18.066820276497698,38.05760368663594,10.923963133640557,,,,,2015-06-04
25,2015,23,598,27223,1999162016.00,73436.506483,100.53125,106.6875,93.6875,103.85937800000002,774.36875,805.1375,133.366,25.218894009216587,18.066820276497698,38.05760368663594,10.923963133640557,,,,,2015-06-04
26,2015,24,13963,113417,5593179376.00,49315.176525,99.875,106.25,93.25,102.262502,776.425,802.95,134.10399999999998,25.9,18.3,38.300000000000004,10.7,,,,,2015-06-11
27,2015,25,13531,66139,5602653983.00,84710.291703,99.21875,105.8125,92.8125,100.665628,778.48125,800.7625,131.344,26.6,18.533333333333328,38.533333333333324,10.466666666666672,,,,,2015-06-18
28,2015,26,12876,159322,7965366053.00,49995.393310,98.5625,105.375,92.375,99.068752,780.5375,798.575,135.83800000000002,27.3,18.766666666666673,38.766666666666666,10.233333333333329,,,,,2015-06-25
29,2015,27,11027,52962,3828562818.00,72288.864053,98.09617,105.0125,91.97379,97.82691600000001,782.39996,796.6308879999999,134.156,27.803686635944704,18.97142857142857,39.02672811059909,10.056221198156686,,,,,2015-07-02
30,2015,27,5776,65510,6453669825.00,98514.269958,98.09617,105.0125,91.97379,97.82691600000001,782.39996,796.6308879999999,134.156,27.803686635944704,18.97142857142857,39.02672811059909,10.056221198156686,,,,,2015-07-02
31,2015,28,13472,63526,4346916541.00,68427.361096,98.51613,105.0,91.741936,98.24193600000001,783.358066,795.822582,130.344,27.096774193548384,19.0,39.451612903225815,10.225806451612899,,,,,2015-07-09
32,2015,29,13722,72665,5276510127.00,72614.190146,98.967742,105.0,91.51613,98.71612999999999,784.2838720000001,795.054838,136.048,26.193548387096772,19.0,39.90322580645161,10.451612903225799,,,,,2015-07-16
33,2015,30,13083,79822,6729887401.00,84311.184898,99.41935599999998,105.0,91.29032400000001,99.190324,785.2096779999999,794.2870959999999,136.57,25.290322580645157,19.0,40.354838709677416,10.677419354838715,,,,,2015-07-23
34,2015,31,2581,5473,1229623393.00,224670.819112,99.87096799999999,105.0,91.064516,99.664516,786.1354840000001,793.519356,130.73999999999998,24.387096774193555,19.0,40.80645161290322,10.903225806451616,,,,,2015-07-30
35,2015,31,12940,185091,15828150444.00,85515.505583,99.87096799999999,105.0,91.064516,99.664516,786.1354840000001,793.519356,130.73999999999998,24.387096774193555,19.0,40.80645161290322,10.903225806451616,,,,,2015-07-30
36,2015,32,10888,54517,4094326327.00,75101.827448,100.0,105.16129000000001,91.322582,100.009678,785.722582,793.719356,132.98399999999998,24.129032258064512,19.0,41.0,11.0,,,,,2015-08-06
37,2015,33,11002,56066,5342162746.00,95283.464952,100.0,105.387098,91.77419400000001,100.30322800000002,784.774194,794.3064499999999,131.2675,24.354838709677427,19.0,41.0,11.0,,,,,2015-08-13
38,2015,34,13190,117319,6051979809.00,51585.675031,100.0,105.612904,92.225806,100.59677400000001,783.8258060000001,794.89355,123.566,24.580645161290313,19.0,41.0,11.0,,,,,2015-08-20
39,2015,35,11222,94652,7565616859.00,79930.871603,100.0,105.83870999999999,92.67742,100.890322,782.87742,795.4806459999999,121.102,24.80645161290323,19.0,41.0,11.0,,,,,2015-08-27
40,2015,36,13218,50065,3938259084.00,78662.919884,100.0,106.06666600000001,93.0,101.17999999999999,782.146666,796.446666,130.198,24.98617511520737,19.0,41.0,10.952380952380958,,,,,2015-09-03
41,2015,36,3423,94031,4132813399.00,43951.605311,100.0,106.06666600000001,93.0,101.17999999999999,782.146666,796.446666,130.198,24.98617511520737,19.0,41.0,10.952380952380958,,,,,2015-09-03
42,2015,37,12328,87483,7019518457.00,80238.657304,100.0,106.3,93.0,101.46000000000001,781.9599999999999,798.36,132.01999999999998,25.0,19.0,41.0,10.733333333333329,,,,,2015-09-10
43,2015,38,11485,60927,4982717097.00,81781.756807,100.0,106.533334,93.0,101.74,781.7733340000001,800.273334,134.61399999999998,25.0,19.0,41.0,10.5,,,,,2015-09-17
44,2015,39,8574,102917,10699785568.00,103965.191056,100.0,106.76666600000001,93.0,102.02000000000001,781.5866659999999,802.186666,136.85999999999999,25.0,19.0,41.0,10.266666666666671,,,,,2015-09-24
45,2015,40,4106,58512,4229620593.00,72286.378742,100.02,107.0,93.02,102.326,781.416,803.796,138.09,24.97235023041474,19.0,40.98617511520737,10.047619047619042,,,,,2015-10-01
46,2015,40,7358,58425,2774954718.00,47496.015712,100.02,107.0,93.02,102.326,781.416,803.796,138.09,24.97235023041474,19.0,40.98617511520737,10.047619047619042,,,,,2015-10-01
47,2015,41,13989,49237,4421608716.45,89802.561416,100.233334,107.23333399999999,93.233334,102.88333399999999,781.4,802.466666,137.53749999999997,24.61290322580644,19.0,40.80645161290323,10.0,,,,,2015-10-08
48,2015,42,16457,72269,5841838412.00,80834.637424,100.46666599999999,107.46666599999999,93.46666599999999,103.46666599999999,781.4,800.8333339999999,137.97400000000002,24.161290322580644,19.0,40.58064516129031,10.0,,,,,2015-10-15
49,2015,43,12558,78673,6316621920.00,80289.577364,100.7,107.7,93.7,104.05,781.4,799.2,142.32000000000002,23.709677419354847,19.0,40.35483870967744,10.0,,,,,2015-10-22
50,2015,44,14095,186199,15703453994.00,84336.940552,100.93333399999999,107.93333399999999,93.93333399999999,104.63333399999999,781.4,797.5666659999999,141.93400000000003,23.258064516129043,19.0,40.12903225806451,10.0,,,,,2015-10-29
51,2015,45,14451,69651,4922097883.00,70668.014572,101.16129000000001,108.32258199999998,94.322582,104.929034,782.270968,797.93871,140.198,23.400000000000002,19.099999999999998,40.699999999999996,10.1,,,,,2015-11-05
52,2015,46,14741,68072,5624610887.00,82627.378173,101.38709800000001,108.77419400000001,94.77419400000001,105.109678,783.490324,799.1129040000001,136.742,24.333333333333325,19.333333333333332,42.33333333333332,10.333333333333329,,,,,2015-11-12
53,2015,47,18824,151691,8251568967.00,54397.221766,101.612904,109.225806,95.225806,105.29032399999998,784.709678,800.287098,138.69400000000002,25.266666666666676,19.56666666666667,43.96666666666666,10.566666666666672,,,,,2015-11-19
54,2015,48,15242,155655,10689513693.00,68674.399749,101.83871,109.67742000000001,95.67742,105.470968,785.929034,801.46129,142.404,26.2,19.8,45.60000000000001,10.8,,,,,2015-11-26
55,2015,49,18732,98973,6157048318.00,62209.373445,101.935484,109.806452,95.806452,105.380646,786.2258059999999,802.138712,141.244,26.85069124423963,19.93963133640553,46.85391705069124,11.031797235023044,,,,,2015-12-03
56,2015,49,4463,63294,5736721904.00,90636.109331,101.935484,109.806452,95.806452,105.380646,786.2258059999999,802.138712,141.244,26.85069124423963,19.93963133640553,46.85391705069124,11.031797235023044,,,,,2015-12-03
57,2015,50,18920,86991,6903114313.00,79354.350599,101.70967800000001,109.12903200000001,95.129032,104.612904,784.21613,801.574192,139.50600000000003,26.48387096774193,19.74193548387097,46.741935483870975,11.258064516129027,,,,,2015-12-10
58,2015,51,17901,143674,9591899423.00,66761.553398,101.483872,108.45161399999999,94.45161399999999,103.845162,782.2064539999999,801.009678,137.658,26.032258064516125,19.516129032258053,46.51612903225806,11.48387096774193,,,,,2015-12-17
59,2015,52,14277,107209,7732679910.00,72127.152664,101.258066,107.774194,93.774194,103.07741999999999,780.196774,800.445162,139.11499999999998,25.580645161290327,19.29032258064517,46.290322580645174,11.709677419354845,,,,,2015-12-24
60,2015,53,13974,134558,12411653136.00,92240.172535,101.0483875,107.14516,93.14516,102.3645175,778.330645,799.9209699999999,137.42666666666668,25.19354838709678,19.096774193548377,46.09677419354838,11.90322580645162,,,,,2015-12-31
61,2016,1,2026,3188,544395557.00,170763.976474,100.96552,107.0,93.03448,102.1069,777.98276,800.0,,25.01612903225805,19.0483870967742,46.145161290322605,11.98387096774195,5.159000000000001,1.67838,30.062465,3.49701,2016-01-01
