,ds,yhat,yhat_lower,yhat_upper
0,2015-01-01,22.268865525587444,21.764939739212373,22.80215060118591
1,2015-01-08,22.373838306047407,21.867869048731276,22.913667666565942
2,2015-01-15,22.499239121262857,21.963511909046026,23.00440795796833
3,2015-01-22,22.581074062535425,22.06748924406625,23.126891931761946
4,2015-01-29,22.56299450198022,22.030796279638793,23.096793667101046
5,2015-02-05,22.46771699158109,21.90633622434236,22.967585623086872
6,2015-02-12,22.40100229509235,21.86978744857367,22.885990537548217
7,2015-02-19,22.462002813279213,21.941072224788986,22.98362541638354
8,2015-02-26,22.64360855264903,22.1209023362871,23.172666580053917
9,2015-03-05,22.833006614331254,22.300829700484265,23.341644430162308
10,2015-03-12,22.920136160587205,22.41329385686756,23.428302893121202
11,2015-03-19,22.90091762828212,22.338809033002867,23.439751698261666
12,2015-03-26,22.865748481023775,22.380664827472085,23.402941576025913
13,2015-04-02,22.892203989526223,22.347543440117697,23.407552440289766
14,2015-04-09,22.90188023741081,22.378597188418215,23.41490461681654
15,2015-04-16,22.884804297779027,22.350013463231342,23.450242860682454
16,2015-04-23,22.803348271518765,22.29388878547717,23.313408863084714
17,2015-04-30,22.698617416787656,22.168055636610354,23.225831995837215
18,2015-05-07,22.637313609325002,22.115699770014533,23.148835446936218
19,2015-05-14,22.636596114846643,22.14290209358729,23.17121544180759
20,2015-05-21,22.657518719662463,22.11018723054753,23.165485339307594
21,2015-05-28,22.663787864775873,22.15568778369062,23.220460497869247
22,2015-06-04,22.663160063152016,22.136183370956484,23.160720721226372
23,2015-06-11,22.681641167108737,22.201177310304523,23.19796359304071
24,2015-06-18,22.714618403617937,22.22101416026846,23.223539617216623
25,2015-06-25,22.727168227912983,22.195867629689545,23.242891331730817
26,2015-07-02,22.703392148703138,22.164450503800552,23.258884351897226
27,2015-07-09,22.672731379003825,22.15696788737691,23.179725484841782
28,2015-07-16,22.681629776856358,22.142083290677984,23.178787725638028
29,2015-07-23,22.70395147142482,22.203295043770225,23.19969827138109
30,2015-07-30,22.68583577198333,22.124543526811582,23.2217502694711
31,2015-08-06,22.60944932736164,22.03550640881689,23.141273085424586
32,2015-08-13,22.538269011032302,21.99433798455022,23.07275398664455
33,2015-08-20,22.56044506553161,22.020383006969837,23.11081272987281
34,2015-08-27,22.681955897320126,22.165224218329104,23.215697046902733
35,2015-09-03,22.79612508654466,22.252473035168364,23.338965921699153
36,2015-09-10,22.78048935346757,22.254109503840702,23.333087554355338
37,2015-09-17,22.62546880641098,22.107366689320322,23.18261735493782
38,2015-09-24,22.454302374661708,21.920429441933123,22.99113035295269
39,2015-10-01,22.40838523229009,21.82907590145026,22.938046259513737
40,2015-10-08,22.51753625149156,22.01860942599302,23.032076166169073
41,2015-10-15,22.686320179017034,22.140086096488684,23.220965873139722
42,2015-10-22,22.797791478588564,22.27091071172339,23.31332680713977
43,2015-10-29,22.816834787298497,22.257893983019606,23.37130406310209
44,2015-11-05,22.794535711723615,22.253952425026096,23.292160301226776
45,2015-11-12,22.793528966604768,22.24139136915719,23.363713925865454
46,2015-11-19,22.82829236833943,22.344446214638896,23.31628867194822
47,2015-11-26,22.872673007013734,22.33731688043493,23.420663369394518
48,2015-12-03,22.90135684149847,22.401568622193928,23.42674808326806
